"atc"	"n"	"name"
"N02BE01"	"1494208"	"Paracetamol"
"J01CR05"	"830244"	"Amoxicillin + clavulanate"
"A12AX"	"699132"	"Calcium + D3"
"V07AB"	"643244"	"Solvents / dilutors"
"J05AB01"	"586278"	"Aciclovir"
"A12BA01"	"491488"	"Potassium chloride"
"N02AA01"	"481616"	"Morphine"
"C03CA01"	"475243"	"Furosemide"
"B05BB01"	"453806"	"Electrolytes IV"
"A02BC02"	"449751"	"Pantoprazole"
"N02AA05"	"303319"	"Oxycodone"
"B01AB04"	"268149"	"Dalteparin"
"H02AB06"	"249980"	"Prednisolone"
"A06AD65"	"249741"	"Macrogol combo"
"J01EE01"	"221501"	"Sulfamethoxazole + trimethoprim"
"M04AA01"	"218714"	"Allopurinol"
"C07AB02"	"217904"	"Metoprolol"
"B01AC06"	"213760"	"Acetylsalicylic acid"
"H02AB02"	"190738"	"Dexamethasone"
"A04AA01"	"178564"	"Ondansetron"
"A10AB05"	"166397"	"A10AB05"
"J01DH02"	"164556"	"J01DH02"
"A11EA"	"161128"	"A11EA"
"J01CR02"	"156985"	"J01CR02"
"A07AA02"	"128241"	"A07AA02"
"L04AX04"	"126000"	"L04AX04"
"B01AF02"	"120018"	"B01AF02"
"C10AA05"	"114752"	"Atorvastatin"
"C08CA01"	"108454"	"Amlodipine"
"N03AX12"	"106893"	"N03AX12"
"J01DC02"	"106544"	"J01DC02"
"J01CE01"	"105823"	"J01CE01"
"A03FA01"	"105334"	"A03FA01"
"R06AE07"	"102648"	"Cetirizine"
"N05CF01"	"102333"	"Zopiclone"
"B01AB10"	"97518"	"B01AB10"
"A06AB08"	"97069"	"A06AB08"
"R03AL02"	"94404"	"R03AL02"
"J01MA02"	"89131"	"J01MA02"
"A02AA04"	"89003"	"A02AA04"
"J02AC01"	"88805"	"J02AC01"
"C09CA01"	"84030"	"Losartan"
"A10BA02"	"82807"	"Metformin"
"A12CC30"	"81045"	"A12CC30"
"A11AA03"	"79330"	"A11AA03"
"A06AB02"	"78129"	"A06AB02"
"J05AB11"	"77802"	"J05AB11"
"J01XD01"	"77181"	"J01XD01"
"R03AL01"	"76431"	"R03AL01"
"B03AA02"	"75255"	"B03AA02"
