"component"	"n"
"NPU02319"	"1497969"
"NPU04998"	"1443471"
"NPU03230"	"1365247"
"NPU03429"	"1358324"
"NPU02593"	"1311762"
"NPU03568"	"1224377"
"NPU19748"	"1192954"
"NPU19651"	"1126346"
"NPU04100"	"984746"
"NPU02636"	"859366"
"NPU02840"	"858774"
"NPU01349"	"858543"
"NPU01933"	"858524"
"NPU27783"	"807902"
"NPU19658"	"785762"
"NPU26631"	"754564"
"NPU19673"	"647516"
"NPU01370"	"645985"
"NPU02902"	"614720"
"NPU02192"	"472399"
"NPU04144"	"436026"
"NPU01459"	"393976"
"NPU01685"	"379507"
"NPU01944"	"334822"
"NPU28172"	"333035"
"NPU19814"	"303393"
"NPU03577"	"297004"
"NPU03688"	"287785"
"NPU02321"	"278702"
"NPU19825"	"241679"
"NPU19795"	"241298"
"NPU27300"	"235587"
"NPU27412"	"234043"
"NPU01961"	"209617"
"NPU04094"	"205961"
"NPU01566"	"202566"
"NPU02320"	"198119"
"NPU01567"	"196761"
"NPU08694"	"193986"
"NPU18878"	"188638"
"NPU17675"	"180110"
"NPU01960"	"176616"
"NPU14267"	"170042"
"NPU03096"	"168990"
"NPU17580"	"163675"
"NPU03278"	"160643"
"NPU19652"	"160633"
"NPU01443"	"159496"
"NPU01700"	"159275"
"NPU01568"	"156848"
"NPU03978"	"155046"
"NPU03976"	"154899"
"NPU03972"	"154086"
"NPU03974"	"153003"
"NPU18157"	"144945"
"NPU19763"	"138770"
"NPU02647"	"138539"
"NPU19606"	"136194"
"NPU19607"	"135982"
"NPU19608"	"135623"
"NPU22089"	"129943"
"NPU03815"	"129213"
"NPU21406"	"127681"
"NPU02508"	"120497"
"NPU18162"	"114658"
"NPU01470"	"109461"
"NPU12474"	"109343"
"NPU08977"	"109254"
"NPU03011"	"109209"
"NPU26470"	"103556"
"NPU21747"	"102527"
"NPU53077"	"101197"
"NPU10267"	"100485"
"NPU02070"	"98870"
"NPU04191"	"98181"
"NPU04708"	"96173"
"NPU03013"	"88909"
"NPU03943"	"88274"
"NPU03579"	"85749"
"NPU09102"	"85123"
