"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"hospital_area_name"	"HGH, HERLEV OG GENTOFTE HOSPITAL"	"8815"	"21.493"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"hospital_area_name"	"RH, RIGSHOSPITALET"	"8672"	"21.144"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"hospital_area_name"	"SJÆLLANDS UNIVERSITETSHOSPITAL"	"6862"	"16.731"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"hospital_area_name"	"NOH, HOSPITALERNE I NORDSJÆLLAND"	"5115"	"12.471"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"hospital_area_name"	"AHH, AMAGER OG HVIDOVRE HOSPITAL"	"3427"	"8.356"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"hospital_area_name"	"BFH, BISPEBJERG OG FREDERIKSBERG HOSPITALER"	"3175"	"7.741"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"hospital_area_name"	"NÆSTVED, SLAGELSE OG RINGSTED SYGEHUSE"	"1776"	"4.33"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"hospital_area_name"	"HOLBÆK SYGEHUS"	"1751"	"4.269"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"hospital_area_name"	"BOH, BORNHOLMS HOSPITAL"	"634"	"1.546"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"hospital_area_name"	"RHP, REGION HOVEDSTADENS PSYKIATRI"	"366"	"0.892"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"hospital_area_name"	"PSYKIATRIEN REGION SJÆLLAND"	"174"	"0.424"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"hospital_area_name"	"HSJ, HOSPICE SJÆLLAND"	"124"	"0.302"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"hospital_area_name"	"SVA, SVANEVIG HOSPICE"	"56"	"0.137"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"hospital_area_name"	"HOG, HOSPICEGÅRDEN FILADELFIA"	"50"	"0.122"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"hospital_area_name"	"FIL, EPILEPSIHOSPITALET FILADELFIA"	"14"	"0.034"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"hospital_area_name"	"EHOSPITALET"	"2"	"0.005"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"hospital_area_name"	"SDC, STENO DIABETES CENTER"	"1"	"0.002"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"region_name"	"REGION HOVEDSTADEN"	"30227"	"73.638"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"region_name"	"REGION SJÆLLAND"	"10577"	"25.767"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"region_name"	"REGION SJÆLLAND, SELVEJEDE"	"244"	"0.594"
