"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"SP_Bloddyrkning_del4"	"SP_Bloddyrkning_del4"	"linje"	"1"	"31548"	"31.548"
"SP_Bloddyrkning_del4"	"SP_Bloddyrkning_del4"	"linje"	"2"	"28347"	"28.347"
"SP_Bloddyrkning_del4"	"SP_Bloddyrkning_del4"	"linje"	"3"	"26359"	"26.359"
"SP_Bloddyrkning_del4"	"SP_Bloddyrkning_del4"	"linje"	"4"	"7027"	"7.027"
"SP_Bloddyrkning_del4"	"SP_Bloddyrkning_del4"	"linje"	"5"	"3435"	"3.435"
"SP_Bloddyrkning_del4"	"SP_Bloddyrkning_del4"	"linje"	"6"	"1441"	"1.441"
"SP_Bloddyrkning_del4"	"SP_Bloddyrkning_del4"	"linje"	"7"	"872"	"0.872"
"SP_Bloddyrkning_del4"	"SP_Bloddyrkning_del4"	"linje"	"8"	"509"	"0.509"
"SP_Bloddyrkning_del4"	"SP_Bloddyrkning_del4"	"linje"	"9"	"409"	"0.409"
"SP_Bloddyrkning_del4"	"SP_Bloddyrkning_del4"	"linje"	"10"	"53"	"0.053"
