"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hospital"	"RH, RIGSHOSPITALET"	"33317"	"33.563"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hospital"	"HGH, HERLEV OG GENTOFTE HOSPITAL"	"24357"	"24.537"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hospital"	"SJÆLLANDS UNIVERSITETSHOSPITAL"	"24236"	"24.415"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hospital"	"NOH, HOSPITALERNE I NORDSJÆLLAND"	"4772"	"4.807"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hospital"	"BFH, BISPEBJERG OG FREDERIKSBERG HOSPITALER"	"2986"	"3.008"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hospital"	"AHH, AMAGER OG HVIDOVRE HOSPITAL"	"2793"	"2.814"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hospital"	"HOLBÆK SYGEHUS"	"2114"	"2.13"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hospital"	"NÆSTVED, SLAGELSE OG RINGSTED SYGEHUSE"	"1606"	"1.618"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hospital"	"NYKØBING F SYGEHUS"	"1537"	"1.548"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hospital"	"BOH, BORNHOLMS HOSPITAL"	"1354"	"1.364"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hospital"	"RHP, REGION HOVEDSTADENS PSYKIATRI"	"93"	"0.094"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hospital"	"PSYKIATRIEN REGION SJÆLLAND"	"60"	"0.06"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hospital"	"FIL, EPILEPSIHOSPITALET FILADELFIA"	"18"	"0.018"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hospital"	"HSJ, HOSPICE SJÆLLAND"	"16"	"0.016"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hospital"	"HOG, HOSPICEGÅRDEN FILADELFIA"	"4"	"0.004"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hospital"	"SVA, SVANEVIG HOSPICE"	"4"	"0.004"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hændelse"	"Udskrivning"	"38450"	"38.45"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hændelse"	"Ambulant hospitalspatient"	"32358"	"32.358"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hændelse"	"Flyt Ind"	"11303"	"11.303"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hændelse"	"Flyt Ud"	"10731"	"10.731"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hændelse"	"Indlæggelse"	"5546"	"5.546"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hændelse"	"Orlovsoptælling"	"708"	"0.708"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hændelse"	"Start på orlov"	"454"	"0.454"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"hændelse"	"Tilbage fra orlov"	"450"	"0.45"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"RH L, AFDELING FOR BLODSYGDOMME, L"	"20373"	"20.373"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"ROS A2, ROS HÆMATOLOGI - OVERAFDELING"	"17248"	"17.248"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"HGH 23, MED. HÆMATOLOGISK OVERAFD. L"	"12996"	"12.996"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"RH ONK, ONKOLOGISK KLINIK ONK"	"3841"	"3.841"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"HGH 36, AKUTMODTAGELSE A OVERAFD."	"2672"	"2.672"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"RH P, NEFROLOGISK KLINIK P"	"2319"	"2.319"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"NOH HIA, HI AKUT OVERAFDELING"	"2090"	"2.09"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"HGH 13, ONKOLOGISK OVERAFDELING R"	"1725"	"1.725"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"ROS A0, ROS MEDICIN - OVERAFDELING"	"1638"	"1.638"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"HGH 09, NEFROLOGISK OVERAFD. B"	"1176"	"1.176"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"ROS A9, ROS KLIN. ONKOLOGI - OVERAFDELING"	"1153"	"1.153"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"RH X, RADIOLOGISK AFDELING"	"1133"	"1.133"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"HGH 02, RØNTGEN OVERAFDELING X"	"1112"	"1.112"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"NFS W4, NFS AKUTAFDELING - OVERAFDELING"	"1097"	"1.097"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"AHH 62, SKADESTUE"	"1070"	"1.07"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"HOL H0, HOL MEDICIN - OVERAFDELING"	"1054"	"1.054"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"BFH AMA, AKUTAFDELING"	"1053"	"1.053"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"RH KF, KLINIK FOR FYSIOLOGI OG NUKLEARMEDICIN, KF"	"1012"	"1.012"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"SLA R8, SLA AKUTAFDELING- OVERAFDELING"	"882"	"0.882"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"HGH 15, GASTROENHEDEN KIR.MED.D,OVERAFD."	"871"	"0.871"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"RH M, MEDICINSK AFDELING M, GLO"	"842"	"0.842"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"BOH M-OV, MEDICINSK OVERAFD."	"795"	"0.795"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"KOE D8, KOE AKUTAFDELING - OVERAFDELING"	"782"	"0.782"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"DK Transit, SJ"	"733"	"0.733"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"HOL H9, HOL AKUTAFDELING - OVERAFDELING"	"694"	"0.694"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"AHH 07, GASTROENHEDEN"	"689"	"0.689"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"HGH 43, MEDICINSK OVERAFD. C, GE"	"618"	"0.618"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"HGH 07, KLINISK/FYSIOLOGISK NUKLEARMED. OVERAFD. Z"	"597"	"0.597"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"HGH 40, LUNGEMEDICINSK OVERAFD. Y, GE"	"559"	"0.559"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"NOH HIM, HI ENDOKRINOLOGISK OG NEFROLOGISK OVERAFD."	"500"	"0.5"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"ROS C9, ROS RADIOLOGI - OVERAFDELING"	"467"	"0.467"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"AHH 32, MEDICINSK OVERAFDELING AMAGER"	"456"	"0.456"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"overafdeling"	"NOH HIH, HI KARDIOLOGISK OVERAFDELING"	"441"	"0.441"
