"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"RH 4131AN1"	"2854"	"16.016"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"SJ ROSANI12"	"1454"	"8.159"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"RH 3043FT"	"1367"	"7.671"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"RH 4141RT1"	"1367"	"7.671"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"HGH I40222"	"1366"	"7.666"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"BFH ITA"	"1052"	"5.903"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"HGH I104"	"1003"	"5.629"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"SJ SLAANINT"	"795"	"4.461"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"NOH HIZI0531"	"770"	"4.321"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"NOH HIZI0532"	"770"	"4.321"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"SJ KOEANI"	"700"	"3.928"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"RH 2093NK1"	"661"	"3.709"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"SJ HOLANINT"	"629"	"3.53"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"AHH 542"	"599"	"3.361"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"SJ NFSANINT"	"566"	"3.176"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"RH 2093N1"	"359"	"2.015"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"RH 6021ANEU4"	"359"	"2.015"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"HGH Q-022GE"	"299"	"1.678"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"RH 4141FT"	"220"	"1.235"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"BOH AIN"	"160"	"0.898"
"SP_ITAOphold"	"SP_ITAOphold"	"afsnit_kortnavn"	"BOH AINT"	"160"	"0.898"
