"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"SP_OrdineretMedicin"	"SP_OrdineretMedicin"	"is_held_order_c"	"1"	"545"	"100"
"SP_OrdineretMedicin"	"SP_OrdineretMedicin"	"is_pending_ord_yn"	"Y"	"545"	"100"
"SP_OrdineretMedicin"	"SP_OrdineretMedicin"	"order_status_c"	"9"	"58413"	"63.629"
"SP_OrdineretMedicin"	"SP_OrdineretMedicin"	"order_status_c"	"2"	"20352"	"22.169"
"SP_OrdineretMedicin"	"SP_OrdineretMedicin"	"order_status_c"	"5"	"6381"	"6.951"
"SP_OrdineretMedicin"	"SP_OrdineretMedicin"	"order_status_c"	"8"	"5453"	"5.94"
"SP_OrdineretMedicin"	"SP_OrdineretMedicin"	"order_status_c"	"11"	"1051"	"1.145"
"SP_OrdineretMedicin"	"SP_OrdineretMedicin"	"order_status_c"	"10"	"153"	"0.167"
"SP_OrdineretMedicin"	"SP_OrdineretMedicin"	"pend_action_c"	"2"	"7722"	"59.373"
"SP_OrdineretMedicin"	"SP_OrdineretMedicin"	"pend_action_c"	"1"	"5214"	"40.089"
"SP_OrdineretMedicin"	"SP_OrdineretMedicin"	"pend_action_c"	"5"	"70"	"0.538"
