"code"	"n"
"N02BE01"	"484527"
"H02AB06"	"250536"
"B05BB01"	"241744"
"H02AB02"	"234416"
"N02AA01"	"222992"
"A04AA01"	"222198"
"A02BC02"	"198030"
"C03CA01"	"175114"
"A12BA01"	"158464"
"N02AA05"	"147160"
"R06AE07"	"141301"
"A03FA03"	"110563"
"V07AB"	"109887"
"C07AB02"	"103335"
"M04AA01"	"96582"
"A06AD65"	"94340"
"C10AA05"	"88543"
"J01CR05"	"88198"
"C08CA01"	"86038"
"N05CF01"	"84910"
"A12AX"	"83148"
"C09CA01"	"74527"
"M01AE01"	"71286"
"L01XG01"	"67539"
"M05BA08"	"66655"
"B01AC06"	"66018"
"L01FC01"	"64382"
"N02AX02"	"62060"
"B01AB10"	"61868"
"N01AX10"	"61804"
"C10AA01"	"61577"
"J01CR02"	"60963"
"A10AB05"	"59426"
"J05AB01"	"59328"
"L01FA01"	"58564"
"N02BF01"	"55138"
"L04AX04"	"54988"
"H02AB04"	"53407"
"A10BA02"	"53225"
"A02AA04"	"51846"
"J01EE01"	"46193"
"R06AA04"	"44106"
"C01AA05"	"43187"
"A06AB02"	"43162"
"B01AC04"	"42769"
"J01MA02"	"42325"
"J02AC01"	"41066"
"C01CA26"	"39876"
"L01AA01"	"39019"
"N01BB02"	"37843"
