"code"	"n"	"name"
"N02BE01"	"484527"	"Paracetamol"
"H02AB06"	"250536"	"Prednisolone"
"B05BB01"	"241744"	"Electrolytes IV"
"H02AB02"	"234416"	"Dexamethasone"
"N02AA01"	"222992"	"Morphine"
"A04AA01"	"222198"	"Ondansetron"
"A02BC02"	"198030"	"Pantoprazole"
"C03CA01"	"175114"	"Furosemide"
"A12BA01"	"158464"	"Potassium chloride"
"N02AA05"	"147160"	"Oxycodone"
"R06AE07"	"141301"	"Cetirizine"
"A03FA03"	"110563"	"Domperidone"
"V07AB"	"109887"	"Solvents / dilutors"
"C07AB02"	"103335"	"Metoprolol"
"M04AA01"	"96582"	"Allopurinol"
"A06AD65"	"94340"	"Macrogol combo"
"C10AA05"	"88543"	"Atorvastatin"
"J01CR05"	"88198"	"Amoxicillin + clavulanate"
"C08CA01"	"86038"	"Amlodipine"
"N05CF01"	"84910"	"Zopiclone"
"A12AX"	"83148"	"Calcium + D3"
"C09CA01"	"74527"	"Losartan"
"M01AE01"	"71286"	"M01AE01"
"L01XG01"	"67539"	"L01XG01"
"M05BA08"	"66655"	"M05BA08"
"B01AC06"	"66018"	"Acetylsalicylic acid"
"L01FC01"	"64382"	"L01FC01"
"N02AX02"	"62060"	"Tramadol"
"B01AB10"	"61868"	"B01AB10"
"N01AX10"	"61804"	"N01AX10"
"C10AA01"	"61577"	"Simvastatin"
"J01CR02"	"60963"	"J01CR02"
"A10AB05"	"59426"	"A10AB05"
"J05AB01"	"59328"	"Aciclovir"
"L01FA01"	"58564"	"L01FA01"
"N02BF01"	"55138"	"N02BF01"
"L04AX04"	"54988"	"L04AX04"
"H02AB04"	"53407"	"H02AB04"
"A10BA02"	"53225"	"Metformin"
"A02AA04"	"51846"	"A02AA04"
"J01EE01"	"46193"	"Sulfamethoxazole + trimethoprim"
"R06AA04"	"44106"	"R06AA04"
"C01AA05"	"43187"	"C01AA05"
"A06AB02"	"43162"	"A06AB02"
"B01AC04"	"42769"	"B01AC04"
"J01MA02"	"42325"	"J01MA02"
"J02AC01"	"41066"	"J02AC01"
"C01CA26"	"39876"	"C01CA26"
"L01AA01"	"39019"	"L01AA01"
"N01BB02"	"37843"	"N01BB02"
