"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"SP_Social_Hx"	"SP_Social_Hx"	"damper"	"Ukendt"	"82912"	"82.912"
"SP_Social_Hx"	"SP_Social_Hx"	"damper"	"Aldrig"	"15308"	"15.308"
"SP_Social_Hx"	"SP_Social_Hx"	"damper"	"Tidligere"	"957"	"0.957"
"SP_Social_Hx"	"SP_Social_Hx"	"damper"	"Aktuel"	"676"	"0.676"
"SP_Social_Hx"	"SP_Social_Hx"	"damper"	"Aldrig brugt"	"126"	"0.126"
"SP_Social_Hx"	"SP_Social_Hx"	"damper"	"Tidligere bruger"	"14"	"0.014"
"SP_Social_Hx"	"SP_Social_Hx"	"damper"	"Aktuel bruger"	"7"	"0.007"
"SP_Social_Hx"	"SP_Social_Hx"	"drikker"	"Ja"	"53100"	"58.95"
"SP_Social_Hx"	"SP_Social_Hx"	"drikker"	"Nej"	"22904"	"25.427"
"SP_Social_Hx"	"SP_Social_Hx"	"drikker"	"Ikke aktuelt"	"8504"	"9.441"
"SP_Social_Hx"	"SP_Social_Hx"	"drikker"	"Aldrig"	"3956"	"4.392"
"SP_Social_Hx"	"SP_Social_Hx"	"drikker"	"Ikke spurgt"	"1431"	"1.589"
"SP_Social_Hx"	"SP_Social_Hx"	"drikker"	"Udskyd"	"181"	"0.201"
"SP_Social_Hx"	"SP_Social_Hx"	"ryger"	"Er holdt op"	"43895"	"43.895"
"SP_Social_Hx"	"SP_Social_Hx"	"ryger"	"Aldrig"	"33979"	"33.979"
"SP_Social_Hx"	"SP_Social_Hx"	"ryger"	"Ja"	"17675"	"17.675"
"SP_Social_Hx"	"SP_Social_Hx"	"ryger"	"Ikke spurgt"	"3998"	"3.998"
"SP_Social_Hx"	"SP_Social_Hx"	"ryger"	"Passiv"	"453"	"0.453"
