"source_name"	"object_name"	"column"	"value"	"n"
"SP_Social_Hx"	"SP_Social_Hx"	"ryger"	"Er holdt op"	"43895"
"SP_Social_Hx"	"SP_Social_Hx"	"ryger"	"Aldrig"	"33979"
"SP_Social_Hx"	"SP_Social_Hx"	"ryger"	"Ja"	"17675"
"SP_Social_Hx"	"SP_Social_Hx"	"ryger"	"Ikke spurgt"	"3998"
"SP_Social_Hx"	"SP_Social_Hx"	"ryger"	"Passiv"	"453"
"SP_Social_Hx"	"SP_Social_Hx"	"drikker"	"Ja"	"53100"
"SP_Social_Hx"	"SP_Social_Hx"	"drikker"	"Nej"	"22904"
"SP_Social_Hx"	"SP_Social_Hx"	"drikker"	"Ikke aktuelt"	"8504"
"SP_Social_Hx"	"SP_Social_Hx"	"drikker"	"Aldrig"	"3956"
"SP_Social_Hx"	"SP_Social_Hx"	"drikker"	"Ikke spurgt"	"1431"
"SP_Social_Hx"	"SP_Social_Hx"	"drikker"	"Udskyd"	"181"
