"displayname"	"domain"	"n_rows"	"n_patients"	"min_date"	"max_date"	"top_units"	"n_numeric_non_missing"
"Puls"	"other"	"9831949"	"26393"	""	""	""	"5955647"
"SpO2"	"other"	"7216742"	"25912"	""	""	""	"3466751"
"Resp"	"other"	"6532782"	"12540"	""	""	""	"3912596"
"BT (Diastolisk)"	"other"	"6377031"	"26413"	""	""	""	"3859415"
"BT (Systolisk)"	"other"	"6377031"	"26413"	""	""	""	"3859415"
"Resp.frekvens"	"other"	"5087727"	"25455"	""	""	""	"3083705"
"Saturation"	"other"	"5005058"	"19890"	""	""	""	"4995748"
"EWS total"	"other"	"4347916"	"24510"	""	""	""	"2667547"
"Temp."	"other"	"3989291"	"25270"	""	""	""	"1916614"
"Ilt (l/min.)"	"other"	"3812264"	"24529"	""	""	""	"2314486"
"Bevidsthedsniveau"	"other"	"2313527"	"25625"	""	""	""	"0"
"Temperatur"	"other"	"1292646"	"16997"	""	""	""	"1286983"
"Vægt"	"weight"	"1010519"	"25996"	""	""	""	"611637"
"Højde"	"height"	"419110"	"25580"	""	""	""	"256677"
"I-EWS score (projekt)"	"other"	"211507"	"3575"	""	""	""	"134945"
"Lejring"	"other"	"192630"	"12998"	""	""	""	"0"
"Udgået - I-EWS modifikator"	"other"	"90761"	"3590"	""	""	""	"0"
"Udgået - Rover, EWS-handling"	"other"	"15711"	"3592"	""	""	""	"0"
