"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"displayname"	"Puls"	"18619"	"18.619"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"displayname"	"Saturation"	"13742"	"13.742"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"displayname"	"BT (Diastolisk)"	"10835"	"10.835"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"displayname"	"BT (Systolisk)"	"10759"	"10.759"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"displayname"	"Resp.frekvens"	"9980"	"9.98"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"displayname"	"Temperatur"	"9396"	"9.396"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"displayname"	"EWS total"	"7820"	"7.82"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"displayname"	"Resp"	"7087"	"7.087"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"displayname"	"Ilt (l/min.)"	"6862"	"6.862"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"displayname"	"Vægt"	"3068"	"3.068"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"displayname"	"Højde"	"1122"	"1.122"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"displayname"	"I-EWS score (projekt)"	"446"	"0.446"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"displayname"	"Bevidsthedsniveau"	"248"	"0.248"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"displayname"	"Lejring"	"7"	"0.007"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"displayname"	"Udgået - I-EWS modifikator"	"6"	"0.006"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"displayname"	"Udgået - Rover, EWS-handling"	"3"	"0.003"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"isaccepted_yn"	"Y"	"100000"	"100"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"template_name"	"ROVER VITALE VÆRDIER/EWS"	"32648"	"32.648"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"template_name"	"IP EWS NAV"	"19226"	"19.226"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"template_name"	"IP VITALE VÆRDIER/TIDLIGERE SMERTER"	"13933"	"13.933"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"template_name"	"IP ITA DEVICE DATA"	"8830"	"8.83"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"template_name"	"DEVICES TEMPLATE"	"8465"	"8.465"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"template_name"	"OP OPVÅGNING"	"2652"	"2.652"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"template_name"	"AKA TRAUME VITALE VÆRDIER"	"2529"	"2.529"
