"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"datasource"	"SDS"	"62980"	"62.98"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"datasource"	"SP"	"32568"	"32.568"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"datasource"	"PATO"	"3339"	"3.339"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"datasource"	"RKKP"	"1113"	"1.113"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC900"	"29472"	"29.472"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC833"	"13998"	"13.998"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC911"	"12831"	"12.831"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DD472"	"4840"	"4.84"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC880"	"3795"	"3.795"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC831"	"3378"	"3.378"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC821"	"2724"	"2.724"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC829"	"2550"	"2.55"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC851"	"2467"	"2.467"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC859"	"2141"	"2.141"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC830"	"1890"	"1.89"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC811"	"1836"	"1.836"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC819"	"1327"	"1.327"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC822"	"1269"	"1.269"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC820"	"1116"	"1.116"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC840"	"1078"	"1.078"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC884"	"1009"	"1.009"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC865"	"939"	"0.939"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC830D"	"895"	"0.895"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC844"	"886"	"0.886"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC812"	"880"	"0.88"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC914"	"662"	"0.662"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC830C"	"599"	"0.599"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DE858A"	"522"	"0.522"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC830B"	"452"	"0.452"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC810"	"370"	"0.37"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC837"	"359"	"0.359"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC884A"	"338"	"0.338"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC847"	"332"	"0.332"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC901"	"328"	"0.328"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC916"	"291"	"0.291"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC917B"	"291"	"0.291"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC841"	"259"	"0.259"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC902"	"222"	"0.222"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC903"	"200"	"0.2"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DD479B"	"193"	"0.193"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC848"	"190"	"0.19"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC835B"	"187"	"0.187"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC846"	"183"	"0.183"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC845"	"169"	"0.169"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC857"	"144"	"0.144"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC857B"	"120"	"0.12"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC833E"	"115"	"0.115"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC839"	"114"	"0.114"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC911B"	"111"	"0.111"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC919"	"108"	"0.108"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC835"	"107"	"0.107"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC827"	"95"	"0.095"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC814"	"90"	"0.09"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"DC817"	"90"	"0.09"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"priority"	"3"	"62980"	"62.98"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"priority"	"4"	"32568"	"32.568"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"priority"	"1"	"3339"	"3.339"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"priority"	"2"	"1113"	"1.113"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"tablename"	"diagnoser"	"24276"	"24.276"
