"source_name"	"object_name"	"concept"	"column_name"	"n_matching_rows"	"pct_matching_rows"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"sks"	"diagnosis"	"80000"	"100"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"sks"	"datasource"	"53979"	"67.474"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"multiple_myeloma"	"diagnosis"	"27589"	"34.486"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"sks"	"tablename"	"19374"	"24.218"
"diagnoses_all"	"diagnoses_all"	"sks"	"diagnosis"	"80000"	"100"
"diagnoses_all"	"diagnoses_all"	"sks"	"datasource"	"27493"	"34.366"
"diagnoses_all"	"diagnoses_all"	"sks"	"tablename"	"18802"	"23.503"
"diagnoses_all"	"diagnoses_all"	"multiple_myeloma"	"diagnosis"	"1838"	"2.297"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Reg_Diagnose"	"5515"	"37.251"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"multiple_myeloma"	"Reg_Diagnose"	"5507"	"37.197"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Reg_MaterialeBiobank"	"1943"	"13.124"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Reg_SammenfaldCorpora"	"1690"	"11.415"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Reg_TidligereMGUS"	"841"	"5.681"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Reg_Karyotypning_gennemfoert"	"686"	"4.634"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Reg_PCINFMARV"	"429"	"2.898"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Reg_Amyloidose"	"422"	"2.85"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Reg_AndreKnogleundersoegelse"	"328"	"2.215"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Reg_Mkomponent"	"259"	"1.749"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Reg_Hyperviskositet"	"181"	"1.223"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Reg_AndenKnogleundersoegelse"	"153"	"1.033"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Reg_Neuropati"	"130"	"0.878"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Reg_ExtramedullaerMyelom"	"113"	"0.763"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Reg_BAKTINF"	"103"	"0.696"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"bone_involvement"	"Reg_CYTOGENRES"	"81"	"0.547"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Reg_Dialysekraevende"	"53"	"0.358"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Reg_MedullaertTvaersnitSyndrom"	"53"	"0.358"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Reg_CYTOGENRES"	"31"	"0.209"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"multiple_myeloma"	"Reg_CYTOGENRES"	"6"	"0.041"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Reg_FISH"	"6"	"0.041"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Region"	"3"	"0.02"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"Reg_PaavistPlasmacytomAnden"	"1"	"0.007"
"RKKP_LYFO"	"RKKP_LYFO"	"sks"	"subtype"	"18985"	"70.156"
"RKKP_LYFO"	"RKKP_LYFO"	"sks"	"Reg_Lokal_Hals_side"	"8846"	"32.689"
"RKKP_LYFO"	"RKKP_LYFO"	"sks"	"Reg_Lokal_Axiller_side"	"7423"	"27.431"
"RKKP_LYFO"	"RKKP_LYFO"	"sks"	"Reg_IvaerkPlantBehandling"	"5813"	"21.481"
"RKKP_LYFO"	"RKKP_LYFO"	"sks"	"Reg_Lokal_Supraclaviculaert_side"	"5026"	"18.573"
"RKKP_LYFO"	"RKKP_LYFO"	"sks"	"Reg_Lokal_Pelvis_side"	"4956"	"18.314"
