isotype_family	specimen_class	bucket	consensus_vector	npu_code
IgG	plasma	heavy_chain	MSPIKE_IGG	
IgA	plasma	heavy_chain	MSPIKE_IGA	
IgM	plasma	heavy_chain	MSPIKE_IGM	
IgD	plasma	heavy_chain	MSPIKE_IGD	
IgE	plasma	heavy_chain	MSPIKE_IGE	
light_chain	plasma	light_chain	MSPIKE_LC	
screen	plasma	screen	MSPIKE_SCREEN	
immunofixation	plasma	immunofixation	MSPIKE_IFX_P	
type_label	plasma	type_label	MSPIKE_TYPE_LABEL	
free_heavy	plasma	free_heavy	MSPIKE_FREE_HEAVY	
Bence_Jones	urine	light_chain	MSPIKE_BJP	
immunofixation	urine	immunofixation	MSPIKE_IFX_U	
screen	urine	screen	MSPIKE_URINE_SCREEN	
type_label	urine	type_label	MSPIKE_URINE_TYPE_LABEL	
group	urine	group	MSPIKE_URINE_GROUP	
IgG	urine	heavy_chain	MSPIKE_URINE_IGG_TYPED	
IgA	urine	heavy_chain	MSPIKE_URINE_IGA_TYPED	
IgM	urine	heavy_chain	MSPIKE_URINE_IGM_TYPED	
IgD	urine	heavy_chain	MSPIKE_URINE_IGD_TYPED	
IgE	urine	heavy_chain	MSPIKE_URINE_IGE_TYPED	
light_chain	urine	light_chain	MSPIKE_URINE_LC	
screen	urine_24h	screen	MSPIKE_URINE_24H_SCREEN	
IgG	urine_24h	heavy_chain	MSPIKE_URINE_24H_IGG_TYPED	
IgA	urine_24h	heavy_chain	MSPIKE_URINE_24H_IGA_TYPED	
IgM	urine_24h	heavy_chain	MSPIKE_URINE_24H_IGM_TYPED	
IgD	urine_24h	heavy_chain	MSPIKE_URINE_24H_IGD_TYPED	
IgE	urine_24h	heavy_chain	MSPIKE_URINE_24H_IGE_TYPED	
light_chain	urine_24h	light_chain	MSPIKE_URINE_24H_LC	
