resource_id	db_name	schema	table	person_key_column	person_key_type	date_columns	diagnosis_date_column	treatment_start_date_column	event_date_column	source_role	linkage_confidence	usable_for_counts	notes
RKKP_LYFO	import	public	RKKP_LYFO	patientid	integer	Reg_DiagnostiskBiopsi_dt;Reg_BehandlingBeslutning_dt;Beh_KemoterapiStart_dt;Beh_ImmunoterapiStart_dt;Beh_Stamcelleinfusion_dt;Rec_RelapsProgressions_dt;Rec_Stamcelleinfusion_dt;CPR_Doedsdato;FU_Doedsdato	Reg_DiagnostiskBiopsi_dt	Beh_KemoterapiStart_dt	Rec_RelapsProgressions_dt	primary_mcl_registry	high	TRUE	Primary LYFO registry source for MCL denominator, treatment timing, ASCT/HDT, relapse/progression, and follow-up status.
patient	core	public	patient	patientid	integer	date_birth;date_death_fu		date_birth	date_death_fu	core_patient_demographics_death	high	TRUE	Core DALY patient table used for birth date and follow-up death evidence; cross-database relative to import.RKKP_LYFO and must not be joined in one SQL query without a validated bridge.
SDS_t_tumor	import	public	SDS_t_tumor	patientid	integer	d_fdsdato;v_diagnosealder;d_diagnosedato		d_diagnosedato		import_same_db_birth_age_candidate	requires_validation	TRUE	Same-import-DB tumor source with birth date and diagnosis-age fields; usable for MCL age only after aggregate join and consistency validation.
SDS_pato	import	public	SDS_pato	patientid	integer	d_rekvdato;d_svardato;date_received		d_rekvdato		ki67_pathology_codes	high	TRUE	Patobank code table with validated patientid linkage for aggregate Ki-67 AEKI person counts.
SDS_dimpatologiskdiagnose	import	public	SDS_dimpatologiskdiagnose			date_received				pathology_code_alias	requires_mapping	FALSE	AEKI codes were found in this source, but person-key linkage was not validated in the aggregate column metadata; do not contribute person counts until mapped.
SDS_epikur	import	public	SDS_epikur							medication_candidate	requires_mapping	FALSE	Person key and value semantics not validated for MCL/TRIANGLE person counts.
EKOKUR	import	public	EKOKUR							treatment_candidate	requires_mapping	FALSE	Person key and value semantics not validated for MCL/TRIANGLE person counts.
indberetningmedpris	import	public	indberetningmedpris							medication_candidate	requires_mapping	FALSE	Person key and medication exposure semantics not validated for MCL/TRIANGLE person counts.
SP_Administreret_Medicin	import	public	SP_Administreret_Medicin							medication_candidate	requires_mapping	FALSE	Person key and medication exposure semantics not validated for MCL/TRIANGLE person counts.
OrdineretMedicin	import	public	OrdineretMedicin							medication_candidate	requires_mapping	FALSE	Person key and medication exposure semantics not validated for MCL/TRIANGLE person counts.
t_sksube	import	public	t_sksube							procedure_candidate	requires_mapping	FALSE	Person key and ASCT/HDT-specific procedure codes not validated for MCL/TRIANGLE person counts.
t_sksopr	import	public	t_sksopr							procedure_candidate	requires_mapping	FALSE	Person key and ASCT/HDT-specific procedure codes not validated for MCL/TRIANGLE person counts.
procedure_andre	import	public	procedure_andre							procedure_candidate	requires_mapping	FALSE	Person key and ASCT/HDT-specific procedure codes not validated for MCL/TRIANGLE person counts.
procedure_kirurgi	import	public	procedure_kirurgi							procedure_candidate	requires_mapping	FALSE	Person key and ASCT/HDT-specific procedure codes not validated for MCL/TRIANGLE person counts.
t_doedsaarsag	import	public	t_doedsaarsag							death_cause_candidate	requires_mapping	FALSE	Person key and linkage to LYFO denominator not validated for MCL/TRIANGLE person counts.
