Code	Consensus vector	System	Status (LabTerm)	Clinical role	Used in V08 classification	Vector consensus basis	Resolution note
NPU01446	CALCIUM_IONISED_CODES	P	Active	Ionised (free) plasma calcium	npu__2_.csv	WoMMen final only	
NPU04144	CALCIUM_IONISED_CODES	P		Ionised (free) plasma calcium	npu__2_.csv	WoMMen final only	
NPU01443	CALCIUM_TOTAL_CODES	P	Active	Total plasma calcium	npu__2_.csv	WoMMen final only; present in V7 keep list	
NPU04169	CALCIUM_TOTAL_CODES	P		Total plasma calcium	npu__2_.csv	WoMMen final only	
NPU17123	CALCIUM_TOTAL_CODES	P		Total plasma calcium	npu__2_.csv	WoMMen final only	
NPU04998	CREATININE_CODES	P	Active	Plasma creatinine for eGFR context	V7 confirmed	WoMMen final only; present in V7 keep list	
NPU18016	CREATININE_CODES	P	Active	Plasma creatinine for eGFR context	V7 confirmed	WoMMen final only; present in V7 keep list	
DNK35302	EGFR_CODES	Kidn.		eGFR (CKD-EPI) — SP-code, not NPU	V7 confirmed	WoMMen final only; present in V7 keep list	
NPU19608	FLC_RATIO_CODES	P	Active	Plasma κ/λ FLC ratio	V7 confirmed	WoMMen canonical over AOT alias; present in V7 keep list	Canonical vector kept as FLC_RATIO_CODES from WoMMen final; AOT used FLC_RATIO.
NPU28596	FLC_RATIO_CODES	P	Active	Plasma κ/λ FLC ratio	V7 confirmed	WoMMen canonical over AOT alias; present in V7 keep list	Canonical vector kept as FLC_RATIO_CODES from WoMMen final; AOT used FLC_RATIO.
NPU26735	FLC_RATIO_U_CODES	U	Active	Urine κ/λ FLC ratio	V7 confirmed — URINE	WoMMen canonical over AOT alias; differs from V7 intended	Canonical vector kept as FLC_RATIO_U_CODES from WoMMen final; AOT used FLC_RATIO. V7 intended/review label was FLC_RATIO_CODES.
NPU19606	FREELITE_KAPPA_CODES	P		Plasma polyclonal κ FLC	v6 Ark1	WoMMen canonical over AOT alias	Canonical vector kept as FREELITE_KAPPA_CODES from WoMMen final; AOT used FLC_KAPPA.
NPU26733	FREELITE_KAPPA_U_CODES	U	Active	Urine polyclonal κ FLC	V7 confirmed — URINE not plasma	WoMMen canonical over AOT alias; differs from V7 intended	Canonical vector kept as FREELITE_KAPPA_U_CODES from WoMMen final; AOT used FLC_KAPPA. V7 intended/review label was FREELITE_KAPPA_CODES.
NPU19607	FREELITE_LAMBDA_CODES	P		Plasma polyclonal λ FLC	v6 Ark1	WoMMen canonical over AOT alias	Canonical vector kept as FREELITE_LAMBDA_CODES from WoMMen final; AOT used FLC_LAMBDA.
NPU26734	FREELITE_LAMBDA_U_CODES	U	Active	Urine polyclonal λ FLC	V7 confirmed — URINE not plasma	WoMMen canonical over AOT alias; differs from V7 intended	Canonical vector kept as FREELITE_LAMBDA_U_CODES from WoMMen final; AOT used FLC_LAMBDA. V7 intended/review label was FREELITE_LAMBDA_CODES.
NPU02476	IGA_TOTAL_CODES	P	Active	Polyclonal total IGA (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU02478	IGA_TOTAL_CODES	P		Polyclonal total IGA (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU19795	IGA_TOTAL_CODES	P		Polyclonal total IGA (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU19796	IGA_TOTAL_CODES	P		Polyclonal total IGA (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU28159	IGA_TOTAL_CODES	P		Polyclonal total IGA (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU02479	IGD_TOTAL_CODES	P		Polyclonal total IGD (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU14663	IGD_TOTAL_CODES	P		Polyclonal total IGD (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU21709	IGD_TOTAL_CODES	P		Polyclonal total IGD (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU24562	IGD_TOTAL_CODES	P		Polyclonal total IGD (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU29219	IGD_TOTAL_CODES	P		Polyclonal total IGD (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU02482	IGE_TOTAL_CODES	P		Polyclonal total IGE (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU18868	IGE_TOTAL_CODES	P		Polyclonal total IGE (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU29221	IGE_TOTAL_CODES	P		Polyclonal total IGE (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU56406	IGE_TOTAL_CODES	P		Polyclonal total IGE (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU57454	IGE_TOTAL_CODES	P		Polyclonal total IGE (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU02481	IGG_TOTAL_CODES	P		Polyclonal total IGG (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU02486	IGG_TOTAL_CODES	P		Polyclonal total IGG (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU10500	IGG_TOTAL_CODES	P		Polyclonal total IGG (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU10501	IGG_TOTAL_CODES	P		Polyclonal total IGG (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU10502	IGG_TOTAL_CODES	P		Polyclonal total IGG (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU10503	IGG_TOTAL_CODES	P		Polyclonal total IGG (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU10608	IGG_TOTAL_CODES	P		Polyclonal total IGG (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU19806	IGG_TOTAL_CODES	P		Polyclonal total IGG (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU19814	IGG_TOTAL_CODES	P		Polyclonal total IGG (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU19817	IGG_TOTAL_CODES	P		Polyclonal total IGG (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
NPU19818	IGG_TOTAL_CODES	P		Polyclonal total IGG (plasma) — all unit/standard variants	npu__1_.csv	WoMMen final only	
