table_name	source_type	source	priority	profile_mode	domain	subdomain	atlas_role	load_strategy	db_name	schema	table	expected_resource_id	display_name	current_source_key	preferred_schema	preferred_table	known_aliases	resolver_type	resolution_priority	expected_availability	legacy_resolution_method	requires_direct_sql	requires_manual_file	requires_special_handling	known_unavailable	notes	legacy_known_unavailable	current_known_unavailable	current_resolver_configured	requires_production_validation	regression_candidate
patient	dataset	patient	1	summary	Core	Patient table	cohort backbone	auto			patient	patient	Patient	patient		patient	patient;Patient;PATIENT	standard_table	1	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
t_dalycare_diagnoses	dataset	t_dalycare_diagnoses	2	summary	Core	Diagnosis view	cohort backbone	auto			t_dalycare_diagnoses	t_dalycare_diagnoses	DALY-CARE diagnoses	t_dalycare_diagnoses		t_dalycare_diagnoses	t_dalycare_diagnoses;T_DALYCARE_DIAGNOSES;dalycare_diagnoses	standard_table	2	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
diagnoses_all	dataset	diagnoses_all	3	summary	Core	Diagnosis view	diagnosis backbone	auto			diagnoses_all	diagnoses_all	All diagnoses	diagnoses_all		diagnoses_all	diagnoses_all;Diagnoses_all;diagnoses;view_diagnoses_all	standard_table	3	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
RKKP_DaMyDa	dataset	RKKP_DaMyDa	4	summary	RKKP	Registry	disease registry	auto			RKKP_DaMyDa	RKKP_DaMyDa	DaMyDa registry	RKKP_DaMyDa		RKKP_DaMyDa	RKKP_DaMyDa;rkkp_damyda;DaMyDa;damyda;clean_RKKP_DAMYDA	standard_table	4	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
RKKP_LYFO	dataset	RKKP_LYFO	5	summary	RKKP	Registry	disease registry	auto			RKKP_LYFO	RKKP_LYFO	LYFO registry	RKKP_LYFO		RKKP_LYFO	RKKP_LYFO;rkkp_lyfo;LYFO;clean_RKKP_LYFO	standard_table	5	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
RKKP_CLL	dataset	RKKP_CLL	6	summary	RKKP	Registry	disease registry	auto			RKKP_CLL	RKKP_CLL	CLL registry	RKKP_CLL		RKKP_CLL	RKKP_CLL;rkkp_cll;CLL;DCLLR;clean_RKKP_CLL	standard_table	6	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
SDS_epikur	dataset	SDS_epikur	7	summary	SDS	Prescription	prescription source	auto			SDS_epikur	SDS_epikur	Epikur	SDS_epikur		SDS_epikur	SDS_epikur;EKOKUR?;epikur;SDS_Epikur	standard_table	7	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
EKOKUR	dataset	SDS_ekokur	8	summary	SDS	Prescription	prescription source	auto			SDS_ekokur	EKOKUR	Ekokur	SDS_ekokur		SDS_ekokur	SDS_ekokur;EKOKUR;ekokur	standard_table	8	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
indberetningmedpris	dataset	SDS_indberetningmedpris	9	summary	SDS	Medication register	medication register	auto			SDS_indberetningmedpris	indberetningmedpris	SMR in-hospital medicine	SDS_indberetningmedpris		SDS_indberetningmedpris	SDS_indberetningmedpris;indberetningmedpris;SMR	standard_table	9	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
t_adm	dataset	SDS_t_adm	10	summary	SDS	Admissions	source table	auto			SDS_t_adm	t_adm	Admissions	SDS_t_adm		SDS_t_adm	SDS_t_adm;t_adm	standard_table	10	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
t_diag	dataset	SDS_t_diag	11	summary	SDS	Diagnosis	source table	auto			SDS_t_diag	t_diag	Diagnoses	SDS_t_diag		SDS_t_diag	SDS_t_diag;t_diag	standard_table	11	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
t_sksopr	dataset	SDS_t_sksopr	12	summary	SDS	Procedure codes	procedure source	auto			SDS_t_sksopr	t_sksopr	SKS operations	SDS_t_sksopr		SDS_t_sksopr	SDS_t_sksopr;t_sksopr;SDS_sksopr	standard_table	12	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
t_sksube	dataset	SDS_t_sksube	13	summary	SDS	Procedure codes	procedure source	auto			SDS_t_sksube	t_sksube	SKS supplementary procedures	SDS_t_sksube		SDS_t_sksube	SDS_t_sksube;t_sksube;SDS_sksube	standard_table	13	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
t_udtilsgh	dataset	SDS_t_udtilsgh	14	summary	SDS	Transfer/admission	source table	auto			SDS_t_udtilsgh	t_udtilsgh	Hospital transfers	SDS_t_udtilsgh		SDS_t_udtilsgh	SDS_t_udtilsgh;t_udtilsgh;SDS_udtilsgh	standard_table	14	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
