"intersection_id","denominator","required_data_points","timing_window","distinct_person_count_display","count_status","small_cell_suppressed","interpretation","answerability_impact","notes","count_mode","source_tables","person_key_used","date_anchor_used","value_rule_used","generated_at","validation_status"
"age_le_65_mcl","younger_mcl_proxy_age_le_65","younger_mcl_proxy_age_le_65","first_line_window","411","production_aggregate_count_available",FALSE,"possibly_sufficient_for_descriptive_analysis","Risk-adapted ASCT de-escalation is not answerable until treatment, biology, outcome, and landmark intersections are populated.","Younger proxy marginal count; no additional intersection query required.","production_aggregate","","","","","2026-05-22T20:23:15+0200","production_aggregate_answerability_sql"
"age_le_65_first_line_treatment_date","younger_mcl_proxy_age_le_65","younger_mcl_proxy_age_le_65; first_line_treatment_date","first_line_window","360","production_aggregate_count_available",FALSE,"possibly_sufficient_for_descriptive_analysis","May support descriptive feasibility, not causal inference.","Aggregate distinct-person intersection; no row-level data emitted.","production_aggregate","","","","","2026-05-22T20:23:15+0200","production_aggregate_answerability_sql"
"age_le_65_ibrutinib_exposure_known","younger_mcl_proxy_age_le_65","younger_mcl_proxy_age_le_65; ibrutinib_exposure","first_line_window","28","production_aggregate_count_available",FALSE,"possibly_sufficient_for_descriptive_analysis","May support descriptive feasibility, not causal inference.","Aggregate distinct-person intersection; no row-level data emitted.","production_aggregate","","","","","2026-05-22T20:23:15+0200","production_aggregate_answerability_sql"
"age_le_65_first_line_asct_hdt_status_known","younger_mcl_proxy_age_le_65","younger_mcl_proxy_age_le_65; asct_hdt_first_line","first_line_window","269","production_aggregate_count_available",FALSE,"possibly_sufficient_for_descriptive_analysis","May support descriptive feasibility, not causal inference.","Aggregate distinct-person intersection; no row-level data emitted.","production_aggregate","","","","","2026-05-22T20:23:15+0200","production_aggregate_answerability_sql"
"age_le_65_ibrutinib_and_asct_status_known","younger_mcl_proxy_age_le_65","younger_mcl_proxy_age_le_65; ibrutinib_exposure; asct_hdt_first_line","first_line_window","11","production_aggregate_count_available",FALSE,"likely_underpowered_for_effect_modelling","Insufficient or unavailable for modelling the risk-adapted question.","Aggregate distinct-person intersection; no row-level data emitted.","production_aggregate","","","","","2026-05-22T20:23:15+0200","production_aggregate_answerability_sql"
"age_le_65_ibrutinib_yes_asct_yes","younger_mcl_proxy_age_le_65","younger_mcl_proxy_age_le_65; ibrutinib_exposure; asct_hdt_first_line","first_line_window","11","production_aggregate_count_available",FALSE,"likely_underpowered_for_effect_modelling","Insufficient or unavailable for modelling the risk-adapted question.","Aggregate distinct-person intersection; no row-level data emitted.","production_aggregate","","","","","2026-05-22T20:23:15+0200","production_aggregate_answerability_sql"
"age_le_65_ibrutinib_yes_asct_no","younger_mcl_proxy_age_le_65","younger_mcl_proxy_age_le_65; ibrutinib_exposure; asct_hdt_first_line_no_or_unknown","first_line_window","","count_not_available_requires_value_mapping",FALSE,"not_countable_yet_mapping_gap","Risk-adapted de-escalation not answerable; biology/exposure classifiability is incomplete.","No validated no/standard-risk classifiability predicate is available.","production_aggregate","","","","","2026-05-22T20:23:15+0200","production_aggregate_answerability_sql"
"age_le_65_ibrutinib_yes_asct_known_os_death","younger_mcl_proxy_age_le_65","younger_mcl_proxy_age_le_65; ibrutinib_exposure; asct_hdt_first_line; os_death","first_line_window","<5","suppressed_small_cell",TRUE,"likely_underpowered_for_effect_modelling","Insufficient or unavailable for modelling the risk-adapted question.","Aggregate distinct-person intersection; no row-level data emitted.","production_aggregate","","","","","2026-05-22T20:23:15+0200","production_aggregate_answerability_sql"
"age_le_65_ibrutinib_yes_asct_known_relapse_proxy","younger_mcl_proxy_age_le_65","younger_mcl_proxy_age_le_65; ibrutinib_exposure; asct_hdt_first_line; relapse_progression_ffs_proxy","first_line_window","<5","suppressed_small_cell",TRUE,"likely_underpowered_for_effect_modelling","Insufficient or unavailable for modelling the risk-adapted question.","Aggregate distinct-person intersection; no row-level data emitted.","production_aggregate","","","","","2026-05-22T20:23:15+0200","production_aggregate_answerability_sql"
"age_le_65_ibrutinib_yes_asct_known_ki67_known","younger_mcl_proxy_age_le_65","younger_mcl_proxy_age_le_65; ibrutinib_exposure; asct_hdt_first_line; ki67_aeki","first_line_window","<5","suppressed_small_cell",TRUE,"likely_underpowered_for_effect_modelling","Insufficient or unavailable for modelling the risk-adapted question.","Aggregate distinct-person intersection; no row-level data emitted.","production_aggregate","","","","","2026-05-22T20:23:15+0200","production_aggregate_answerability_sql"
