"query_id","output_file","denominator","data_point","timing_window","tables_used","person_key_used","date_anchor_used","value_rule_used","small_cell_suppression_applied","emits_only_aggregate_counts","query_executable","reviewer_notes"
"mcl_triangle_all_lyfo_mcl","mcl_triangle_data_point_counts.csv","all_lyfo_mcl","all_lyfo_mcl","ever_available","public.RKKP_LYFO","patientid","Reg_DiagnostiskBiopsi_dt","RKKP_LYFO.subtype = 'MCL'",TRUE,TRUE,TRUE,"mapped_for_production_aggregate"
"mcl_triangle_younger_mcl_proxy_age_le_65","mcl_triangle_data_point_counts.csv","all_lyfo_mcl","younger_mcl_proxy_age_le_65","near_diagnosis","public.RKKP_LYFO; public.SDS_t_tumor","patientid","Reg_BehandlingBeslutning_dt;Beh_KemoterapiStart_dt;Reg_DiagnostiskBiopsi_dt","age at coalesced LYFO anchor < 66 years using d_fdsdato",TRUE,TRUE,TRUE,"same_db_birth_date_source_validated"
"mcl_triangle_birth_date_available","mcl_triangle_data_point_counts.csv","all_lyfo_mcl","birth_date_available","near_diagnosis","public.RKKP_LYFO; public.SDS_t_tumor","patientid","Reg_BehandlingBeslutning_dt;Beh_KemoterapiStart_dt;Reg_DiagnostiskBiopsi_dt","birth_date_available using guarded d_fdsdato/coalesced anchor date parsing",TRUE,TRUE,TRUE,"same_db_birth_date_source_validated"
"mcl_triangle_age_anchor_available","mcl_triangle_data_point_counts.csv","all_lyfo_mcl","age_anchor_available","near_diagnosis","public.RKKP_LYFO; public.SDS_t_tumor","patientid","Reg_BehandlingBeslutning_dt;Beh_KemoterapiStart_dt;Reg_DiagnostiskBiopsi_dt","age_anchor_available using guarded d_fdsdato/coalesced anchor date parsing",TRUE,TRUE,TRUE,"same_db_birth_date_source_validated"
"mcl_triangle_age_computable","mcl_triangle_data_point_counts.csv","all_lyfo_mcl","age_computable","near_diagnosis","public.RKKP_LYFO; public.SDS_t_tumor","patientid","Reg_BehandlingBeslutning_dt;Beh_KemoterapiStart_dt;Reg_DiagnostiskBiopsi_dt","age_computable using guarded d_fdsdato/coalesced anchor date parsing",TRUE,TRUE,TRUE,"same_db_birth_date_source_validated"
"mcl_triangle_age_gt_65","mcl_triangle_data_point_counts.csv","all_lyfo_mcl","age_gt_65","near_diagnosis","public.RKKP_LYFO; public.SDS_t_tumor","patientid","Reg_BehandlingBeslutning_dt;Beh_KemoterapiStart_dt;Reg_DiagnostiskBiopsi_dt","age_gt_65 using guarded d_fdsdato/coalesced anchor date parsing",TRUE,TRUE,TRUE,"same_db_birth_date_source_validated"
"mcl_triangle_age_missing_uncomputable","mcl_triangle_data_point_counts.csv","all_lyfo_mcl","age_missing_uncomputable","near_diagnosis","public.RKKP_LYFO; public.SDS_t_tumor","patientid","Reg_BehandlingBeslutning_dt;Beh_KemoterapiStart_dt;Reg_DiagnostiskBiopsi_dt","age_missing_uncomputable using guarded d_fdsdato/coalesced anchor date parsing",TRUE,TRUE,TRUE,"same_db_birth_date_source_validated"
"mcl_triangle_diagnosis_date","mcl_triangle_data_point_counts.csv","all_lyfo_mcl","diagnosis_date","near_diagnosis","public.RKKP_LYFO","patientid","Reg_DiagnostiskBiopsi_dt","Reg_DiagnostiskBiopsi_dt valid date",TRUE,TRUE,TRUE,"mapped_for_production_aggregate"
"mcl_triangle_first_line_treatment_date","mcl_triangle_data_point_counts.csv","all_lyfo_mcl","first_line_treatment_date","first_line_window","public.RKKP_LYFO","patientid","Beh_KemoterapiStart_dt","Beh_KemoterapiStart_dt valid date",TRUE,TRUE,TRUE,"mapped_for_production_aggregate"
"mcl_triangle_cit_immunochemotherapy","mcl_triangle_data_point_counts.csv","all_lyfo_mcl","cit_immunochemotherapy","first_line_window","public.RKKP_LYFO","patientid","Beh_KemoterapiStart_dt","LYFO chemo Y, regimen, or immunotherapy mapped from full-atlas value evidence",TRUE,TRUE,TRUE,"mapped_for_production_aggregate"
