"data_point_id","clinical_label","denominator","timing_scope","count_status","distinct_person_count_display","percent_of_denominator_display","denominator_count_display","count_source","person_key_confidence","timing_validation_status","source_locations","notes","query_attempted","query_executed","query_success","error_class","error_message_sanitized","count_mode","source_tables","person_key_used","date_anchor_used","value_rule_used","generated_at","validation_status"
"all_lyfo_mcl","MCL cohort","all_lyfo_mcl","ever_available","production_aggregate_count_available","1,417","100%","1,417","production_aggregate_sql","validated_mapping_config","date_anchor_mapped_requires_validation","public.RKKP_LYFO","Aggregate distinct-person count; no person keys emitted.",TRUE,TRUE,TRUE,"","","production_aggregate","public.RKKP_LYFO","patientid","Reg_DiagnostiskBiopsi_dt","RKKP_LYFO.subtype = 'MCL'","2026-05-22T20:23:15+0200","mapped_for_production_aggregate"
"younger_mcl_proxy_age_le_65","Younger/transplant-eligible proxy MCL, age <=65","all_lyfo_mcl","near_diagnosis","production_aggregate_count_available","411","29%","1,417","production_aggregate_sql","validated_mapping_config","date_anchor_mapped_requires_validation","public.RKKP_LYFO; public.SDS_t_tumor","Aggregate distinct-person count; no person keys emitted.",TRUE,TRUE,TRUE,"","","production_aggregate","public.RKKP_LYFO; public.SDS_t_tumor","patientid","Reg_BehandlingBeslutning_dt;Beh_KemoterapiStart_dt;Reg_DiagnostiskBiopsi_dt","age at coalesced LYFO anchor < 66 years using d_fdsdato","2026-05-22T20:23:15+0200","same_db_birth_date_source_validated"
"birth_date_available","Birth date available for age proxy","all_lyfo_mcl","near_diagnosis","production_aggregate_count_available","1,296","91.5%","1,417","production_aggregate_sql","validated_mapping_config","date_anchor_mapped_requires_validation","public.RKKP_LYFO; public.SDS_t_tumor","Aggregate distinct-person count; no person keys emitted.",TRUE,TRUE,TRUE,"","","production_aggregate","public.RKKP_LYFO; public.SDS_t_tumor","patientid","Reg_BehandlingBeslutning_dt;Beh_KemoterapiStart_dt;Reg_DiagnostiskBiopsi_dt","birth_date_available using guarded d_fdsdato/coalesced anchor date parsing","2026-05-22T20:23:15+0200","same_db_birth_date_source_validated"
"age_anchor_available","Diagnosis/treatment age anchor available","all_lyfo_mcl","near_diagnosis","production_aggregate_count_available","1,417","100%","1,417","production_aggregate_sql","validated_mapping_config","date_anchor_mapped_requires_validation","public.RKKP_LYFO; public.SDS_t_tumor","Aggregate distinct-person count; no person keys emitted.",TRUE,TRUE,TRUE,"","","production_aggregate","public.RKKP_LYFO; public.SDS_t_tumor","patientid","Reg_BehandlingBeslutning_dt;Beh_KemoterapiStart_dt;Reg_DiagnostiskBiopsi_dt","age_anchor_available using guarded d_fdsdato/coalesced anchor date parsing","2026-05-22T20:23:15+0200","same_db_birth_date_source_validated"
"age_computable","Age computable at diagnosis/treatment anchor","all_lyfo_mcl","near_diagnosis","production_aggregate_count_available","1,296","91.5%","1,417","production_aggregate_sql","validated_mapping_config","date_anchor_mapped_requires_validation","public.RKKP_LYFO; public.SDS_t_tumor","Aggregate distinct-person count; no person keys emitted.",TRUE,TRUE,TRUE,"","","production_aggregate","public.RKKP_LYFO; public.SDS_t_tumor","patientid","Reg_BehandlingBeslutning_dt;Beh_KemoterapiStart_dt;Reg_DiagnostiskBiopsi_dt","age_computable using guarded d_fdsdato/coalesced anchor date parsing","2026-05-22T20:23:15+0200","same_db_birth_date_source_validated"
"age_gt_65","MCL age >65 at diagnosis/treatment anchor","all_lyfo_mcl","near_diagnosis","production_aggregate_count_available","885","62.5%","1,417","production_aggregate_sql","validated_mapping_config","date_anchor_mapped_requires_validation","public.RKKP_LYFO; public.SDS_t_tumor","Aggregate distinct-person count; no person keys emitted.",TRUE,TRUE,TRUE,"","","production_aggregate","public.RKKP_LYFO; public.SDS_t_tumor","patientid","Reg_BehandlingBeslutning_dt;Beh_KemoterapiStart_dt;Reg_DiagnostiskBiopsi_dt","age_gt_65 using guarded d_fdsdato/coalesced anchor date parsing","2026-05-22T20:23:15+0200","same_db_birth_date_source_validated"
"age_missing_uncomputable","Age missing or uncomputable","all_lyfo_mcl","near_diagnosis","production_aggregate_count_available","121","8.5%","1,417","production_aggregate_sql","validated_mapping_config","date_anchor_mapped_requires_validation","public.RKKP_LYFO; public.SDS_t_tumor","Aggregate distinct-person count; no person keys emitted.",TRUE,TRUE,TRUE,"","","production_aggregate","public.RKKP_LYFO; public.SDS_t_tumor","patientid","Reg_BehandlingBeslutning_dt;Beh_KemoterapiStart_dt;Reg_DiagnostiskBiopsi_dt","age_missing_uncomputable using guarded d_fdsdato/coalesced anchor date parsing","2026-05-22T20:23:15+0200","same_db_birth_date_source_validated"
"diagnosis_date","Diagnosis date","all_lyfo_mcl","near_diagnosis","production_aggregate_count_available","1,417","100%","1,417","production_aggregate_sql","validated_mapping_config","date_anchor_mapped_requires_validation","public.RKKP_LYFO","Aggregate distinct-person count; no person keys emitted.",TRUE,TRUE,TRUE,"","","production_aggregate","public.RKKP_LYFO","patientid","Reg_DiagnostiskBiopsi_dt","Reg_DiagnostiskBiopsi_dt valid date","2026-05-22T20:23:15+0200","mapped_for_production_aggregate"
"first_line_treatment_date","First-line treatment date","all_lyfo_mcl","first_line_window","production_aggregate_count_available","1,118","78.9%","1,417","production_aggregate_sql","validated_mapping_config","date_anchor_mapped_requires_validation","public.RKKP_LYFO","Aggregate distinct-person count; no person keys emitted.",TRUE,TRUE,TRUE,"","","production_aggregate","public.RKKP_LYFO","patientid","Beh_KemoterapiStart_dt","Beh_KemoterapiStart_dt valid date","2026-05-22T20:23:15+0200","mapped_for_production_aggregate"
"cit_immunochemotherapy","CIT / immunochemotherapy","all_lyfo_mcl","first_line_window","production_aggregate_count_available","1,148","81%","1,417","production_aggregate_sql","validated_mapping_config","date_anchor_mapped_requires_validation","public.RKKP_LYFO","Aggregate distinct-person count; no person keys emitted.",TRUE,TRUE,TRUE,"","","production_aggregate","public.RKKP_LYFO","patientid","Beh_KemoterapiStart_dt","LYFO chemo Y, regimen, or immunotherapy mapped from full-atlas value evidence","2026-05-22T20:23:15+0200","mapped_for_production_aggregate"
"asct_hdt_first_line","First-line ASCT/HDT","all_lyfo_mcl","first_line_window","production_aggregate_count_available","336","23.7%","1,417","production_aggregate_sql","validated_mapping_config","date_anchor_mapped_requires_validation","public.RKKP_LYFO","Aggregate distinct-person count; no person keys emitted.",TRUE,TRUE,TRUE,"","","production_aggregate","public.RKKP_LYFO","patientid","Beh_Stamcelleinfusion_dt","LYFO Beh_* ASCT/HDT fields","2026-05-22T20:23:15+0200","aggregate_evidence_found_requires_validation"
