"source_id","source_role","code_system","code_value","count_status","source_code_rows_display","source_distinct_people_display","mcl_exposed_people_display","date_available_people_display","selected_for_union","validation_status","notes","count_mode","source_tables","person_key_used","date_anchor_used","value_rule_used","generated_at"
"RKKP_LYFO_Beh_Kemoterapiregime1","primary_registry_regimen","LYFO_REGIMEN","ibrutinib","production_aggregate_count_available","67","67","46","46",TRUE,"lyfo_regimen_source_validated","Validated aggregate Ibrutinib source contributes to the deduplicated primary MCL union.","production_aggregate","","","","","2026-05-22T20:23:15+0200"
"RKKP_LYFO_Beh_Kemoterapiregime2","primary_registry_regimen","LYFO_REGIMEN","ibrutinib","production_aggregate_count_available","27","27","14","14",TRUE,"lyfo_regimen_source_validated","Validated aggregate Ibrutinib source contributes to the deduplicated primary MCL union.","production_aggregate","","","","","2026-05-22T20:23:15+0200"
"RKKP_LYFO_Beh_Kemoterapiregime3","primary_registry_regimen","LYFO_REGIMEN","ibrutinib","production_aggregate_count_available","15","15","13","13",TRUE,"lyfo_regimen_source_validated","Validated aggregate Ibrutinib source contributes to the deduplicated primary MCL union.","production_aggregate","","","","","2026-05-22T20:23:15+0200"
"SDS_indberetningmedpris_ATC_L01XE27","primary_atc_source","ATC","L01XE27","production_aggregate_count_available","3,859","194","48","48",TRUE,"atc_source_validated","Validated aggregate Ibrutinib source contributes to the deduplicated primary MCL union.","production_aggregate","","","","","2026-05-22T20:23:15+0200"
"SP_OrdineretMedicin_ATC_L01XE27","primary_atc_source","ATC","L01XE27","production_aggregate_count_available","0","0","0","0",FALSE,"source_validated_zero_mcl_exposed","Source failed closed for primary union counting.","production_aggregate","","","","","2026-05-22T20:23:15+0200"
"SDS_epikur_ATC_L01XE27","primary_atc_source","ATC","L01XE27","production_aggregate_count_available","0","0","0","0",FALSE,"source_validated_zero_mcl_exposed","Source failed closed for primary union counting.","production_aggregate","","","","","2026-05-22T20:23:15+0200"
"SDS_ekokur_ATC_L01XE27","primary_atc_source","ATC","L01XE27","production_aggregate_count_available","0","0","0","0",FALSE,"source_validated_zero_mcl_exposed","Source failed closed for primary union counting.","production_aggregate","","","","","2026-05-22T20:23:15+0200"
"SDS_t_sksube_SKS_BWHA169","primary_bridged_sks_source","SKS","BWHA169","production_aggregate_count_available","151","151","0","0",FALSE,"source_validated_zero_mcl_exposed","Source failed closed for primary union counting.","production_aggregate","","","","","2026-05-22T20:23:15+0200"
"RKKP_CLL_Beh_TargeteretBeh_Ibrutinib","auxiliary_cross_registry","RKKP_CLL_FIELD","Y","production_aggregate_count_available","177","177","0","0",FALSE,"source_validated_zero_mcl_exposed","Source failed closed for primary union counting.","production_aggregate","","","","","2026-05-22T20:23:15+0200"
"CLL_TREAT_IBRUTINIB_auxiliary","auxiliary_cross_db_curated","CURATED_CLL_FIELD","1;Y;TRUE","production_aggregate_failed_query_error","","","","",FALSE,"co_residency_probe_failed","Source failed closed for primary union counting.","production_aggregate","","","","","2026-05-22T20:23:15+0200"
