"denominator","parsed_percent","distinct_person_count_display","percent_of_denominator_display","validation_status","count_status","notes"
"all_lyfo_mcl",1,"<5","","coded_aeki_numeric_percent_validated_aggregate","suppressed_small_cell","Aggregate parsed AEKI percent distribution; exact small cells suppressed."
"all_lyfo_mcl",4,"<5","","coded_aeki_numeric_percent_validated_aggregate","suppressed_small_cell","Aggregate parsed AEKI percent distribution; exact small cells suppressed."
"all_lyfo_mcl",5,"<5","","coded_aeki_numeric_percent_validated_aggregate","suppressed_small_cell","Aggregate parsed AEKI percent distribution; exact small cells suppressed."
"all_lyfo_mcl",10,"7","0.5%","coded_aeki_numeric_percent_validated_aggregate","production_aggregate_count_available","Aggregate parsed AEKI percent distribution; exact small cells suppressed."
"all_lyfo_mcl",15,"<5","","coded_aeki_numeric_percent_validated_aggregate","suppressed_small_cell","Aggregate parsed AEKI percent distribution; exact small cells suppressed."
"all_lyfo_mcl",20,"5","0.4%","coded_aeki_numeric_percent_validated_aggregate","production_aggregate_count_available","Aggregate parsed AEKI percent distribution; exact small cells suppressed."
"all_lyfo_mcl",30,"5","0.4%","coded_aeki_numeric_percent_validated_aggregate","production_aggregate_count_available","Aggregate parsed AEKI percent distribution; exact small cells suppressed."
"all_lyfo_mcl",40,"<5","","coded_aeki_numeric_percent_validated_aggregate","suppressed_small_cell","Aggregate parsed AEKI percent distribution; exact small cells suppressed."
"all_lyfo_mcl",50,"<5","","coded_aeki_numeric_percent_validated_aggregate","suppressed_small_cell","Aggregate parsed AEKI percent distribution; exact small cells suppressed."
"all_lyfo_mcl",60,"<5","","coded_aeki_numeric_percent_validated_aggregate","suppressed_small_cell","Aggregate parsed AEKI percent distribution; exact small cells suppressed."
"all_lyfo_mcl",70,"<5","","coded_aeki_numeric_percent_validated_aggregate","suppressed_small_cell","Aggregate parsed AEKI percent distribution; exact small cells suppressed."
"all_lyfo_mcl",75,"<5","","coded_aeki_numeric_percent_validated_aggregate","suppressed_small_cell","Aggregate parsed AEKI percent distribution; exact small cells suppressed."
"all_lyfo_mcl",80,"<5","","coded_aeki_numeric_percent_validated_aggregate","suppressed_small_cell","Aggregate parsed AEKI percent distribution; exact small cells suppressed."
"all_lyfo_mcl",95,"<5","","coded_aeki_numeric_percent_validated_aggregate","suppressed_small_cell","Aggregate parsed AEKI percent distribution; exact small cells suppressed."
"all_lyfo_mcl",100,"<5","","coded_aeki_numeric_percent_validated_aggregate","suppressed_small_cell","Aggregate parsed AEKI percent distribution; exact small cells suppressed."
