"source","schema","table","candidate_person_id_columns","selected_person_id_column","links_to_dalycare_patient","linkage_confidence","usable_for_distinct_person_counts","date_anchor_columns","notes"
"RKKP_LYFO","public","RKKP_LYFO","patientid","patientid",TRUE,"high",TRUE,"Reg_DiagnostiskBiopsi_dt;Reg_BehandlingBeslutning_dt;Beh_KemoterapiStart_dt;Beh_ImmunoterapiStart_dt;Beh_Stamcelleinfusion_dt;Rec_RelapsProgressions_dt;Rec_Stamcelleinfusion_dt;CPR_Doedsdato;FU_Doedsdato","Primary LYFO registry source for MCL denominator, treatment timing, ASCT/HDT, relapse/progression, and follow-up status."
"patient/death","public","patient_or_death_followup","patientid","patientid",TRUE,"high",TRUE,"date_birth;date_death_fu","Core DALY patient table used for birth date and follow-up death evidence; cross-database relative to import.RKKP_LYFO and must not be joined in one SQL query without a validated bridge."
"SDS_pato","public","SDS_pato","patientid","patientid",TRUE,"high",TRUE,"d_rekvdato;d_svardato;date_received","Patobank code table with validated patientid linkage for aggregate Ki-67 AEKI person counts."
"patient","public","patient","patientid","patientid",TRUE,"high",TRUE,"date_birth;date_death_fu","Core DALY patient table used for birth date and follow-up death evidence; cross-database relative to import.RKKP_LYFO and must not be joined in one SQL query without a validated bridge."
"SDS_t_tumor","public","SDS_t_tumor","patientid","patientid",TRUE,"requires_validation",TRUE,"d_fdsdato;v_diagnosealder;d_diagnosedato","Same-import-DB tumor source with birth date and diagnosis-age fields; usable for MCL age only after aggregate join and consistency validation."
"SDS_dimpatologiskdiagnose","public","SDS_dimpatologiskdiagnose","","",FALSE,"requires_mapping",FALSE,"date_received","AEKI codes were found in this source, but person-key linkage was not validated in the aggregate column metadata; do not contribute person counts until mapped."
"SDS_epikur","public","SDS_epikur","","",FALSE,"requires_mapping",FALSE,"","Person key and value semantics not validated for MCL/TRIANGLE person counts."
"EKOKUR","public","EKOKUR","","",FALSE,"requires_mapping",FALSE,"","Person key and value semantics not validated for MCL/TRIANGLE person counts."
"indberetningmedpris","public","indberetningmedpris","","",FALSE,"requires_mapping",FALSE,"","Person key and medication exposure semantics not validated for MCL/TRIANGLE person counts."
"SP_Administreret_Medicin","public","SP_Administreret_Medicin","","",FALSE,"requires_mapping",FALSE,"","Person key and medication exposure semantics not validated for MCL/TRIANGLE person counts."
"OrdineretMedicin","public","OrdineretMedicin","","",FALSE,"requires_mapping",FALSE,"","Person key and medication exposure semantics not validated for MCL/TRIANGLE person counts."
"t_sksube","public","t_sksube","","",FALSE,"requires_mapping",FALSE,"","Person key and ASCT/HDT-specific procedure codes not validated for MCL/TRIANGLE person counts."
"t_sksopr","public","t_sksopr","","",FALSE,"requires_mapping",FALSE,"","Person key and ASCT/HDT-specific procedure codes not validated for MCL/TRIANGLE person counts."
"procedure_andre","public","procedure_andre","","",FALSE,"requires_mapping",FALSE,"","Person key and ASCT/HDT-specific procedure codes not validated for MCL/TRIANGLE person counts."
"procedure_kirurgi","public","procedure_kirurgi","","",FALSE,"requires_mapping",FALSE,"","Person key and ASCT/HDT-specific procedure codes not validated for MCL/TRIANGLE person counts."
"t_doedsaarsag","public","t_doedsaarsag","","",FALSE,"requires_mapping",FALSE,"","Person key and linkage to LYFO denominator not validated for MCL/TRIANGLE person counts."
